sciname_with_author,family,state_rank,global_rank,federal_listing
Hypericum anagalloides Cham. & Schltdl.,Hypericaceae,S1,G4,
Isoetes occidentalis L.F. Hend.,Isoetaceae,S3S4,G4G5,
Isolepis cernua var. cernua (Vahl) Roem. & Schult.,Cyperaceae,S1,G5,
Juncus articulatus L.,Juncaceae,S1S2,G5,BLM Sensitive
Juncus covillei var. obtusatus C.L. Hitchcock,Juncaceae,S1,G5,
Juncus nodosus L.,Juncaceae,S1S2,G5,
Juncus tenuis Willd.,Juncaceae,S2,G5,BLM Watch
Juniperus horizontalis Moench.,Cupressaceae,S3,G5,
Koeleria asiatica Domin,Poaceae,S3,G4,BLM Watch
Koeleria macrantha (Ledeb.) Schult.,Poaceae,S1,G5,
Lactuca biennis (Moench) Fernald,Asteraceae,S2S3,G5,
Lathyrus ochroleucus Hook.,Fabaceae,SH,G5,
Ligusticum calderi Mathias & Constance,Apiaceae,S2,G3G4,USFS
Limosella aquatica L.,Plantaginaceae,S3,G5,
Lobelia dortmanna L.,Campanulaceae,S1S2,G4G5,
Lonicera involucrata (Richardson) Banks,Caprifoliaceae,S3,G4G5,
Lupinus kuschei Eastw.,Fabaceae,S2,G3G4,
Luzula comosa E. Meyer,Juncaceae,S1,G4G5,
Lycopodiella inundata (L.) Holub,Lycopodiaceae,S3,G5,
Lycopus asper Greene,Lamiaceae,S1,G5,
Lycopus uniflorus Michx.,Lamiaceae,S3S4,G5,
Maianthemum racemosum ssp. amplexicaule (Nutt.) LaFrankie,Asparagaceae,S1,G5,
Maianthemum stellatum (L.) Link,Asparagaceae,S3,G5,
Malaxis monophyllos ssp. brachypoda (A. Gray) F. Morris & E. A. Eames,Orchidaceae,SU,GNRTNR,
Malaxis monophyllos ssp. monophyllos (L.) Swartz,Orchidaceae,SU,GNRTNR,
Melica subulata (Griseb.) Scribn.,Poaceae,S3,G5,
Mertensia drummondii (Lehm.) G.Don,Boraginaceae,S2,G2G3,BLM Sensitive
Mertensia paniculata var. alaskana (Britton) L.O.Williams,Boraginaceae,S3S4Q,G5TNR,
Micranthes nelsoniana ssp. insularis (Hulten) Elven & D.F. Murray,Saxifragaceae,S3,G5T3T4,BLM Sensitive
Micranthes nelsoniana var. carlottae (Calder & Savile) Gornall & H. Ohba,Saxifragaceae,S2,G5T3,
Micranthes nudicaulis ssp. nudicaulis (D. Don) Gornall & H. Ohba,Saxifragaceae,S3,G3G4Q,BLM Watch
Micranthes occidentalis (S. Watson) Small,Saxifragaceae,S1,G5,
Micranthes porsildiana (Calder & Savile) Elven & D.F. Murray,Saxifragaceae,S3,G4,BLM Sensitive
Micranthes tolmiei (Torr. & A. Gray) Brouillet & Gornall,Saxifragaceae,S2S3,G5,
Mimulus lewisii Pursh,Phrymaceae,S2S3,G5,
Minuartia dawsonensis (Britt.) House,Caryophyllaceae,S3S4,G5,
Mitella nuda L.,Saxifragaceae,S1,G5,
Monotropa uniflora L.,Ericaceae,S1,G5,
Montia vassilievii ssp. vassilievii (Kuzen.) McNeill,Montiaceae,S3Q,GNRTNR,BLM Sensitive
Myriophyllum farwellii Morong,Haloragaceae,S1,G5,
Najas flexilis (Willd.) Rostk. & W. L. E. Schmidt,Hydrocharitaceae,S3,G5,
Nuphar variegata Durand,Nymphaeaceae,S1,G5,
Ophioglossum pusillum Rafinesque,Ophioglossaceae,S1,G5,
Orobanche fasciculata Nutt.,Orobanchaceae,S1,G4,
Orobanche uniflora L.,Orobanchaceae,S1S2,G5,BLM Sensitive
Oxygraphis glacialis (Fisch.) Bunge,Ranunculaceae,S3,G4G5,BLM Watch
Oxytropis arctica var. barnebyana S.L. Welsh,Fabaceae,SU,G4?T2Q,BLM Sensitive
Oxytropis kobukensis S.L. Welsh,Fabaceae,S2,G2,
Oxytropis kokrinensis A.E. Porsild,Fabaceae,S3,G3,BLM Sensitive
Oxytropis tananensis Jurtz.,Fabaceae,S3S4Q,GNR,
Packera subnuda var. moresbiensis (Calder & R. L. Taylor) Trock,Asteraceae,S3,GNRT3T4,
Papaver gorodkovii Tolmatchew & Petrovsky,Papaveraceae,S2S3,G3,BLM Sensitive
Parasenecio auriculatus (DC.) J. R. Grant,Asteraceae,S2,G4,
"Parrya nauruaq Al-Shehbaz, J.R. Grant, R. Lipkin, D.F. Murray, & C.L. Parker",Brassicaceae,S1S2,G2,BLM Sensitive
Pedicularis groenlandica Retz.,Orobanchaceae,S2,G5,
Pedicularis hirsuta L.,Orobanchaceae,S1,G5?,BLM Sensitive
Penstemon serrulatus Menzies ex Rees,Plantaginaceae,S1,G4,
Phacelia franklinii (R. Br.) A. Gray,Hydrophyllaceae,SP,G5,
Phacelia mollis J.F. Macbr.,Hydrophyllaceae,S3,G3,BLM Sensitive
Phacelia sericea (Graham) A. Gray,Hydrophyllaceae,S2,G5,
Phlox hoodii Richardson,Polemoniaceae,SU,G5,
Phlox richardsonii Hook.,Polemoniaceae,SU,G4,
Phyllodoce empetriformis (Sm.) D. Don,Ericaceae,S2,G5,
Phyllospadix serrulatus Rupr. Ex Asch,Zosteraceae,S3,G4,BLM Watch
Physaria calderi (G.A. Mulligan & A.E. Porsild) OnullKane & Al-Shehbaz,Brassicaceae,S2,G3G4,BLM Sensitive
Physocarpus capitatus (Pursh) Kuntze,Rosaceae,S2,G5,
Picris hieracioides L.,Asteraceae,S1,G5,
Plagiobothrys orientalis (L.) I.M.Johnst.,Boraginaceae,S3,G3G4,BLM Watch
Platanthera ephemerantha R.M. Bateman,Orchidaceae,S2,G3,
Platanthera orbiculata (Pursh) Lindl.,Orchidaceae,S3S4,G5,USFS
Platanthera tipuloides var. behringiana (Rydb.) Hulten,Orchidaceae,S1S2,G4G5T2T3,
Platanthera unalascensis (Spreng.) Kurtz.,Orchidaceae,S2S3,G5,USFS
Pleuropogon sabinei R. Br.,Poaceae,S1S2,G4G5,BLM Sensitive
Poa hartzii ssp. alaskana Soreng,Poaceae,S1S2,G3G4T1T2,BLM Sensitive
Poa macrantha Vasey,Poaceae,S1S2,G5,BLM Sensitive
Poa porsildii Gjærev.,Poaceae,S2S3,G3,BLM Sensitive
Poa secunda ssp. secunda J. Presl,Poaceae,S2,G5TNR,
Poa sublanata Reverd.,Poaceae,S2,GNR,BLM Sensitive
Podagrostis humilis (Vasey) Bjorkman,Poaceae,SU,G5,
Podagrostis thurberiana (Hitchc.) Hulten,Poaceae,S3,G5,
Podistera yukonensis Mathias & Constance,Apiaceae,S1S2,G3G4,BLM Sensitive
Polygonum fowleri ssp. fowleri B.L. Robinson,Polygonaceae,S3S4,G5TNR,
Polygonum minimum S. Watson,Polygonaceae,S1,G5,
Polypodium sibiricum Siplivinskij,Polypodiaceae,S3,G5,
Polystichum aleuticum C. Christens.,Dryopteridaceae,S1,G1,USFWS Endangered
Polystichum kruckebergii W.H. Wagner,Dryopteridaceae,S1,G4,USFS
Polystichum microchlamys (H. Christ) Matsumura,Dryopteridaceae,S1,G4?,
Polystichum setigerum (K. Presl) K. Presl,Dryopteridaceae,S3,G3,
Potamogeton obtusifolius Mert. & W.D.J. Koch,Potamogetonaceae,S3,G5,
Potamogeton robbinsii Oakes,Potamogetonaceae,S2,G5,
Potamogeton subsibiricus Hagstrom,Potamogetonaceae,S3S4,G3G4,BLM Watch
Potentilla drummondii Lehm.,Rosaceae,S2S3,G5,BLM Watch
Potentilla fragiformis Willd. Ex Schltdl.,Rosaceae,S1S2,G4,BLM Sensitive
Potentilla rubricaulis Lehm.,Rosaceae,SU,G4,
Potentilla stipularis L.,Rosaceae,S2,G5,BLM Watch
Primula cuneifolia ssp. cuneifolia Ledeb.,Primulaceae,S1,G5TNR,
Primula tschuktschorum Kjellman,Primulaceae,S3,G2G3,BLM Sensitive
Puccinellia andersonii Swallen,Poaceae,S1S2,G3G5,
Puccinellia angustata (R. Br.) E.L. Rand & Redfield,Poaceae,S1,G4Q,
Puccinellia arctica (Hook.) Fernald & Weath.,Poaceae,S1,G4G5,
Puccinellia banksiensis Consaul,Poaceae,S1,G1G2,BLM Sensitive
Puccinellia vaginata (Lange) Fernald & Weath.,Poaceae,S1,G4,BLM Sensitive
Puccinellia vahliana (Liebm.) Scribn. & Merr.,Poaceae,S3,G4,BLM Watch
Puccinellia wrightii ssp. wrightii (Scribn. & Merr.) Tzvelev,Poaceae,S3,G3G4TNR,BLM Watch
Ranunculus camissonis Schltdl.,Ranunculaceae,S3,GNR,BLM Watch
Ranunculus glacialis ssp. alaskensis Jurtz.,Ranunculaceae,S1S2,G4T2,
Ranunculus orthorhynchus var. orthorhynchus Hook.,Ranunculaceae,S3,G5T5,
Ranunculus pacificus (Hulten) L.D. Benson,Ranunculaceae,S3S4,G3,BLM Sensitive
Ranunculus ponojensis (Markl.) Ericsson,Ranunculaceae,S2,GNR,BLM Sensitive
Ranunculus sabinei R. Brown,Ranunculaceae,S1,G4,
Ranunculus turneri ssp. turneri Greene,Ranunculaceae,S2,G3TNR,BLM Sensitive
Romanzoffia unalaschcensis Cham.,Hydrophyllaceae,S3S4,G3G4,"USFS, BLM Sensitive"
Rorippa curvisiliqua (Hooker) Bessey ex Britton,Brassicaceae,S1S2,G5,
Rosa woodsii ssp. woodsii Lindl.,Rosaceae,S2S3,G5T5,BLM Watch
Rumex aureostigmaticus Kom.,Polygonaceae,S1,GNR,BLM Sensitive
Rumex beringensis V.V.Petrovsky,Polygonaceae,S3,G3,BLM Sensitive
Rumex krausei V.V.Petrovsky,Polygonaceae,S2,G2,BLM Sensitive
Salix athabascensis Raup.,Salicaceae,S2,G4G5,
Salix candida Flugge ex Willd.,Salicaceae,S3,G5,
Salix hookeriana Barratt ex Hook.,Salicaceae,S2S3,G5,
Salix nummularia Andersson,Salicaceae,SH,G5,
Salix planifolia Pursh,Salicaceae,S2,G5T5,BLM Watch
Salix prolixa Andersson,Salicaceae,S1,G5,
Saussurea americana D. C. Eaton,Asteraceae,S2S3,G5,
Saussurea triangulata Trautvetter & C.A. Meyer,Asteraceae,S1,GNR,
Saxifraga adscendens ssp. oregonensis (Raf.) Bacig.,Saxifragaceae,S2S3,G5T4T5,BLM Watch
Saxifraga aizoides L.,Saxifragaceae,S1,G5,
Saxifraga aleutica Hulten,Saxifragaceae,S2S3,G2G3,
Saxifraga rivularis ssp. arctolitoralis (Jurtzev & V.V. Petrovsky) M.H. Jrgensen & Elven,Saxifragaceae,S2,G5T2T3,BLM Watch
Schizachne purpurascens (Torr.) Swallen,Poaceae,S2,G5,
Schoenoplectus pungens (Vahl) Palla,Cyperaceae,S1,G4G5,
Schoenoplectus subterminalis (Torr.) Sojak,Cyperaceae,S2,G4G5,
Scolochloa festucacea (Willd.) Link,Poaceae,S2,G5,
Sedum divergens S. Watson,Crassulaceae,S1,G5?,
Sedum oreganum var. oreganum Nuttall,Crassulaceae,S1,G5,
Selaginella wallacei Hieronymus,Selaginellaceae,S1,G5,
Senecio cannabifolius Lessing,Asteraceae,S2,G4,
Sidalcea hendersonii S. Watson,Malvaceae,S1,G3,USFS
Sieversia pentapetala (L.) Greene,Rosaceae,S2S3,G3G4,
Silene uralensis ssp. ogilviensis (A.E. Porsild) D.F. Brunt.,Caryophyllaceae,S1Q,G4G5T2,
Sisyrinchium montanum var. montanum Greene,Iridaceae,S1,G5,
Smelowskia johnsonii G.A. Mulligan,Brassicaceae,S1,G1,BLM Sensitive
Smelowskia media (W.H. Drury & Rollins) Velichkin,Brassicaceae,S2S3,GNR,
Smelowskia pyriformis W.H. Drury & Rollins,Brassicaceae,S3,G3,BLM Sensitive
Sphenopholis intermedia (Rydb.) Rydb.,Poaceae,S1,G5,
Stachys mexicana Benth.,Lamiaceae,S1,G5,
Stellaria ruscifolia ssp. aleutica Hulten,Caryophyllaceae,S2S3,G4T3,
Stellaria umbellata Turczaninow,Caryophyllaceae,S3S4,G5,
Suaeda calceoliformis (Hook.) Moq.,Amaranthaceae,S1S2,G5,
Symphoricarpos albus (L.) (L.) S.F. Blake,Caprifoliaceae,S2,G5,
Symphyotrichum falcatum var. falcatum (Lindl.) G.L. Nesom,Asteraceae,S1S2,G5T4T5,
Symphyotrichum pygmaeum (Lindl.) Brouillet & S.Selliah,Asteraceae,S2,G2G4,BLM Sensitive
Symphyotrichum yukonense (Cronquist) G.L. Nesom,Asteraceae,S3,G3,BLM Sensitive
Tanacetum camphoratum Less.,Asteraceae,S1,G5T4T5,USFS
Taxus brevifolia Nutt.,Taxaceae,S3,G4G5,
Thalictrum minus ssp. kemense (Fr.) Cajander,Ranunculaceae,S2,GNR,
Thalictrum occidentale A. Gray,Ranunculaceae,S2S3,G5,
Tiarella trifoliata var. laciniata (Hook) Wheelock,Saxifragaceae,S3,G5T5?,
Townsendia hookeri Beaman,Asteraceae,S1,G5,
Trichophorum pumilum (Vahl) Schinz & Thell.,Cyperaceae,S1,G5,
Trisetum sibiricum ssp. litorale Rupr. Ex Roshev.,Poaceae,S3,G5T4Q,
Trollius membranostylis Hulten,Ranunculaceae,S1,G4G5,
Veronica grandiflora Gaertn.,Plantaginaceae,S2S3,G3,
Vicia americana Muhl. ex Willd.,Fabaceae,S2,G5,BLM Watch
Viola selkirkii Pursh ex Goldie,Violaceae,S3S4,G5?,
Viola sempervirens Greene,Violaceae,S1,G5,
Zannichellia palustris ssp. palustris L.,Potamogetonaceae,S3S4,G5,
