"","sciname_with_author","family","state_rank","global_rank","federal_listing","ssp_var","genus","species","sciname_only","intraspecific_qualifier","intraspecies"
"66","Carex praegracilis W. Boott","Cyperaceae","SP","G4",NA,FALSE,"Carex","praegracilis","Carex praegracilis","NULL","NULL"
"67","Carex sabulosa ssp. leiophylla (Mack.) A.E. Porsild","Cyperaceae","S1","G5",NA,TRUE,"Carex","sabulosa","Carex sabulosa ssp. leiophylla","ssp.","leiophylla"
"68","Carex sartwellii Dewey","Cyperaceae","S1","G4G5",NA,FALSE,"Carex","sartwellii","Carex sartwellii","NULL","NULL"
"69","Carex sprengelii Dewey ex Spreng.","Cyperaceae","S1","G5",NA,FALSE,"Carex","sprengelii","Carex sprengelii","NULL","NULL"
"70","Carex sychnocephala J. Carey","Cyperaceae","S2","G4",NA,FALSE,"Carex","sychnocephala","Carex sychnocephala","NULL","NULL"
"71","Carex tahoensis Smiley","Cyperaceae","S1","G5",NA,FALSE,"Carex","tahoensis","Carex tahoensis","NULL","NULL"
"72","Carex xerantica L.H. Bailey","Cyperaceae","S1","G5",NA,FALSE,"Carex","xerantica","Carex xerantica","NULL","NULL"
"73","Catabrosa aquatica (L.) P. Beauv.","Poaceae","S1S2","G5",NA,FALSE,"Catabrosa","aquatica","Catabrosa aquatica","NULL","NULL"
"74","Cerastium aleuticum Hulten","Caryophyllaceae","S3","G3",NA,FALSE,"Cerastium","aleuticum","Cerastium aleuticum","NULL","NULL"
"75","Ceratophyllum demersum L.","Ceratophyllaceae","S3S4","G5",NA,FALSE,"Ceratophyllum","demersum","Ceratophyllum demersum","NULL","NULL"
"76","Chamaerhodos erecta (L.) Bunge","Rosaceae","S2S3","G5",NA,FALSE,"Chamaerhodos","erecta","Chamaerhodos erecta","NULL","NULL"
"77","Chenopodium salinum Standl.","Amaranthaceae","S3S4","G5T5",NA,FALSE,"Chenopodium","salinum","Chenopodium salinum","NULL","NULL"
"78","Chimaphila umbellata ssp. umbellata (L.) W.P.C. Barton","Ericaceae","S2","G5T5",NA,TRUE,"Chimaphila","umbellata","Chimaphila umbellata ssp. umbellata","ssp.","umbellata"
"79","Chrysosplenium rosendahlii Packer","Saxifragaceae","S1S2","G4G5Q",NA,FALSE,"Chrysosplenium","rosendahlii","Chrysosplenium rosendahlii","NULL","NULL"
"80","Cicuta bulbifera L.","Apiaceae","S3","G5",NA,FALSE,"Cicuta","bulbifera","Cicuta bulbifera","NULL","NULL"
"81","Cirsium edule var. macounii (Greene) D.J. Keil","Asteraceae","SU","G4TNR","USFS",TRUE,"Cirsium","edule","Cirsium edule var. macounii","var.","macounii"
"82","Cirsium kamtschaticum Ledeb. ex DC.","Asteraceae","SU","G3?",NA,FALSE,"Cirsium","kamtschaticum","Cirsium kamtschaticum","NULL","NULL"
"83","Claytonia arctica Adams","Montiaceae","S1S2","G3",NA,FALSE,"Claytonia","arctica","Claytonia arctica","NULL","NULL"
"84","Cochlearia sessilifolia Rollins","Brassicaceae","S2Q","G2","USFS, BLM Sensitive",FALSE,"Cochlearia","sessilifolia","Cochlearia sessilifolia","NULL","NULL"
"85","Corispermum ochotense Ignatov","Amaranthaceae","S3","G3G4",NA,FALSE,"Corispermum","ochotense","Corispermum ochotense","NULL","NULL"
"86","Crassula aquatica (L.) Schonland","Crassulaceae","S1S2","G5",NA,FALSE,"Crassula","aquatica","Crassula aquatica","NULL","NULL"
"87","Crataegus suksdorfii (Sarg.) Kruschke","Rosaceae","SH","GNR",NA,FALSE,"Crataegus","suksdorfii","Crataegus suksdorfii","NULL","NULL"
"88","Cryptantha shackletteana L.C.Higgins","Boraginaceae","S1","G1Q","BLM Sensitive",FALSE,"Cryptantha","shackletteana","Cryptantha shackletteana","NULL","NULL"
"89","Cryptogramma stelleri (S.G. Gmel.) Prantl","Pteridaceae","S3S4","G5",NA,FALSE,"Cryptogramma","stelleri","Cryptogramma stelleri","NULL","NULL"
"90","Cypripedium montanum Douglas ex Lindl.","Orchidaceae","S2","G4","USFS",FALSE,"Cypripedium","montanum","Cypripedium montanum","NULL","NULL"
"91","Cypripedium parviflorum var. exiliens Sheviak","Orchidaceae","S2S3","G5","BLM Watch",TRUE,"Cypripedium","parviflorum","Cypripedium parviflorum var. exiliens","var.","exiliens"
"92","Cypripedium parviflorum var. pubescens (Willd.) Knight","Orchidaceae","S1","G5TNR","USFS",TRUE,"Cypripedium","parviflorum","Cypripedium parviflorum var. pubescens","var.","pubescens"
"93","Cypripedium yatabeanum Makino","Orchidaceae","S1","GNR",NA,FALSE,"Cypripedium","yatabeanum","Cypripedium yatabeanum","NULL","NULL"
"94","Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.","Poaceae","S1","G5",NA,FALSE,"Danthonia","spicata","Danthonia spicata","NULL","NULL"
"95","Douglasia arctica Hook.","Primulaceae","S3","G3","BLM Sensitive",FALSE,"Douglasia","arctica","Douglasia arctica","NULL","NULL"
"96","Douglasia beringensis S. Keslo, Jurtz., & D.F. Murray","Primulaceae","S2","G2","BLM Sensitive",FALSE,"Douglasia","beringensis","Douglasia beringensis","NULL","NULL"
